stockCode,stockName,marketKind,sectionKind,listedDate
A002840,"미원상사                                                                                            ","거래소         ","주권                                                        ",19890925
A002870,"신풍제지                                                                                            ","거래소         ","주권                                                        ",19760630
A002880,"대유에이텍                                                                                          ","거래소         ","주권                                                        ",19770218
A002900,"동양물산                                                                                            ","거래소         ","주권                                                        ",19730626
A002920,"유성기업                                                                                            ","거래소         ","주권                                                        ",19881010
A002960,"한국쉘석유                                                                                          ","거래소         ","주권                                                        ",19880810
A002990,"금호산업                                                                                            ","거래소         ","주권                                                        ",19760626
A002995,"금호산업우                                                                                          ","거래소         ","주권                                                        ",19881006
A003000,"부광약품                                                                                            ","거래소         ","주권                                                        ",19880805
A003010,"혜인                                                                                                ","거래소         ","주권                                                        ",19880920
A003030,"세아제강지주                                                                                        ","거래소         ","주권                                                        ",19690513
A003060,"에이프로젠제약                                                                                      ","거래소         ","주권                                                        ",19841019
A003070,"코오롱글로벌                                                                                        ","거래소         ","주권                                                        ",19780915
A003075,"코오롱글로벌우                                                                                      ","거래소         ","주권                                                        ",19891211
A003080,"성보화학                                                                                            ","거래소         ","주권                                                        ",19761223
A003090,"대웅                                                                                                ","거래소         ","주권                                                        ",19730626
A003100,"선광                                                                                                ","코스닥         ","주권                                                        ",19991221
A003120,"일성신약                                                                                            ","거래소         ","주권                                                        ",19850114
A003160,"디아이                                                                                              ","거래소         ","주권                                                        ",19960731
A003200,"일신방직                                                                                            ","거래소         ","주권                                                        ",19730523
A003220,"대원제약                                                                                            ","거래소         ","주권                                                        ",19991215
A003230,"삼양식품                                                                                            ","거래소         ","주권                                                        ",19750630
A003240,"태광산업                                                                                            ","거래소         ","주권                                                        ",19751227
A003280,"흥아해운                                                                                            ","거래소         ","주권                                                        ",19760629
A003300,"한일홀딩스                                                                                          ","거래소         ","주권                                                        ",19691120
A003310,"대주산업                                                                                            ","코스닥         ","주권                                                        ",19920801
A003350,"한국화장품제조                                                                                      ","거래소         ","주권                                                        ",19780206
A003380,"하림지주                                                                                            ","코스닥         ","주권                                                        ",20170630
A003410,"쌍용양회                                                                                            ","거래소         ","주권                                                        ",19750503
A003415,"쌍용양회우                                                                                          ","거래소         ","주권                                                        ",19920423
A003460,"유화증권                                                                                            ","거래소         ","주권                                                        ",19870824
A003465,"유화증권우                                                                                          ","거래소         ","주권                                                        ",19900220
A003470,"유안타증권                                                                                          ","거래소         ","주권                                                        ",19880121
A003475,"유안타증권우                                                                                        ","거래소         ","주권                                                        ",19890322
A003480,"한진중공업홀딩스                                                                                    ","거래소         ","주권                                                        ",19560303
A003490,"대한항공                                                                                            ","거래소         ","주권                                                        ",19660318
A003495,"대한항공우                                                                                          ","거래소         ","주권                                                        ",19900331
